NSETicker,ICTicker
BHARTIARTL,BHAAIR
ABB,ABB
HDFCBANK,HDFBAN
SIEMENS,SIEMEN
BHEL,BHEL
SBIN,STABAN
ICICIBANK,ICIBAN
DIVISLAB,DIVLAB
HINDUNILVR,HINLEV
IOC,INDOIL
PFC,POWOFS
M&M,MAHMAH
RECLTD,RURELE
NMDC,NATMIN
PERSISTENT,PERSYS
IRFC,INDR
SAIL,SAIL
BAJFINANCE,BAJFI
NESTLEIND,NESIND
MAZDOCK,MAZDOC
LT,LARTOU
HAL,HINAER
BDL,BHADYN
ITC,ITC
RELIANCE,RELIND
AMBUJACEM,AMBCE
DIXON,DIXTEC
IRCTC,INDRAI
OFSS,ORAFIN
COFORGE,NIITEC
MUTHOOTFIN,MUTFIN
IEX,INDEN
IREDA,INDREN
CDSL,CDSL
TATACONSUM,TATGLO
SUNPHARMA,SHADRU
BSE,BSE
DALBHARAT,ODICEM
PIDILITIND,PIDIND
INFY,INFTEC
TCS,TCS
MCX,MCX
BEL,BHAELE
KOTAKBANK,KOTMAH
PREMIERENE,PREENR
TATASTEEL,TATSTE
ULTRACEMCO,ULTCEM
SHRIRAMFIN,SHRTRA
POWERGRID,POWGRI
HINDALCO,HINDAL
JSWSTEEL,JSWSTE
GRASIM,GRASIM
BAJAJ-AUTO,BAAUTO
SBILIFE,SBILIF
JIOFIN,JIOFIN
TMPV,TATMOT
MAXHEALTH,MAXHEA
DRREDDY,DRREDD
APOLLOHOSP,APOHOS
WIPRO,WIPRO
BANKINDIA,BANIND
EICHERMOT,EICMOT
ABCAPITAL,ADICAP
ADANIENT,ADAENT
ADANIPORTS,ADAPOR
ALKEM,ALKLAB
ASHOKLEY,ASHLEY
ASIANPAINT,ASIPAI
AXISBANK,AXIBAN
BAJAJFINSV,BAFINS
BANKBARODA,BANBAR
BHARATFORG,BHAFOR
BIOCON,BIOCON
BLUESTARCO,BLUSTA
BPCL,BHAPET
BRITANNIA,BRIIND
CAMS,COMAGE
CIPLA,CIPLA
COALINDIA,COALIN
COLPAL,COLPAL
CONCOR,CONCOR
CUMMINSIND,CUMIND
DMART,AVESUP
EICHERMOT,EICMOT
ETERNAL,ZOMLIM
FORTIS,FORHEA
HCLTECH,HCLTEC
HDFCAMC,HDFAMC
HDFCLIFE,HDFSTA
IDFCFIRSTB,IDFBAN
IGL,INDGAS
INDHOTEL,INDHOT
INDIGO,INTAVI
LTF,LTFINA
LTIM,LTINFO
MANKIND,MAPHA
MARUTI,MARUTI
NATIONALUM,NATALU
NHPC,NHPC
NTPC,NTPC
ONGC,ONGC
PAGEIND,PAGIND
POWERGRID,POWGRI
PPLPHARMA,PIRPHA
RVNL,RAIVIK
SOLARINDS,SOLIN
SUPREMEIND,SUPIND
TATAELXSI,TATELX
TATAMOTORS,TATMOT
TECHM,TECMAH
TITAGARH,TITWAG
TITAN,TITIND
TRENT,TRENT
UNITDSPR,UNISPI
VEDL,VEDLIM
YESBANK,YESBAN
NAUKRI,INFEDG
BOSCHLTD,BOSLIM
HINDZINC,HINZIN
NYKAA,FSNECO
LICHSGFIN,LICHF
AUBANK,AUSMA
EXIDEIND,EXIIND
WAAREEENER,WAAENE
PGEL,PGELEC
KAYNES,KAYTEC
ADANIENSOL,ADATRA
ADANIGREEN,ADAGRE
ADANIPOWER,ADAPOW
ADANIPORTS,ADAPOR
OIL,OILIND
